Input name	Standardized name	Formula	Exact mass	Super class	Main class	Sub class	Pubchem CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	 REFMET_ID
16 metabolites	-						-	-	-	-	-	-	-
3-hydroxybutyric acid	3-Hydroxybutyric acid	C4H8O3	104.0473	Fatty Acyls	Fatty acids	Hydroxy FA	441	20067	HMDB0000357	LMFA01050005	C01089	WHBMMWSBFZVSSR-UHFFFAOYSA-N	RM0153056
74 lipoprotein components	-						-	-	-	-	-	-	-
ApoA1	-						-	-	-	-	-	-	-
ApoA1-HDL	-						-	-	-	-	-	-	-
ApoA2	-						-	-	-	-	-	-	-
ApoA2-HDL	-						-	-	-	-	-	-	-
ApoB-VLDL	-						-	-	-	-	-	-	-
ApoB100	-						-	-	-	-	-	-	-
Chol	Cholesterol	C27H46O	386.3549	Sterol Lipids	Sterols	Cholesterols	5997	16113	HMDB0000067	LMST01010001	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N	RM0135639
Chol-HDL	-						-	-	-	-	-	-	-
Chol-LDL	-						-	-	-	-	-	-	-
Chol-LDL4	-						-	-	-	-	-	-	-
Chol-LDL5	-						-	-	-	-	-	-	-
EDTA	Edetic acid	C10H16N2O8	292.0907	Organic acids	Carboxylic acids	Tetracarboxylic acids	6049	4735	HMDB0015109		C00284	KCXVZYZYPLLWCC-UHFFFAOYSA-N	RM0030846
FreeChol-HDL	-						-	-	-	-	-	-	-
FreeChol-LDL4	-						-	-	-	-	-	-	-
FreeChol-LDL5	-						-	-	-	-	-	-	-
GlycA	Glycocholic acid	C26H43NO6	465.3090	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
GlycB	-						-	-	-	-	-	-	-
HDL	-						-	-	-	-	-	-	-
HDL cholesterol	-						-	-	-	-	-	-	-
LDL	-						-	-	-	-	-	-	-
LDL cholesterol	-						-	-	-	-	-	-	-
LDL1	-						-	-	-	-	-	-	-
LDL2	-						-	-	-	-	-	-	-
LDL3	-						-	-	-	-	-	-	-
LDL4	-						-	-	-	-	-	-	-
LDL5	-						-	-	-	-	-	-	-
NMR	-						-	-	-	-	-	-	-
NOESY	-						-	-	-	-	-	-	-
PL-HDL	-						-	-	-	-	-	-	-
PL-LDL4	-						-	-	-	-	-	-	-
PL-LDL5	-						-	-	-	-	-	-	-
Ph	-						-	-	-	-	-	-	-
Random Forest (RF)	-						-	-	-	-	-	-	-
TG	-						-	-	-	-	-	-	-
TG-HDL	-						-	-	-	-	-	-	-
TG-LDL	-						-	-	-	-	-	-	-
VLDL	-						-	-	-	-	-	-	-
acetic acid	Acetic acid	C2H4O2	60.0211	Fatty Acyls	Fatty acids	Saturated FA	176	15366	HMDB0000042	LMFA01010002	C00033	QTBSBXVTEAMEQO-UHFFFAOYSA-N	RM0153572
acetoacetic acid	Acetoacetic acid	C4H6O3	102.0317	Fatty Acyls	Fatty acids	Oxo FA	96	15344	HMDB0000060	LMFA01060003	C00164	WDJHALXBUFZDSR-UHFFFAOYSA-N	RM0153222
acetone	Acetone	C3H6O	58.0419	Organic oxygen compounds	Carbonyl compounds	Ketones	180	15347	HMDB0001659	LMFA12000057	C00207	CSCPPACGZOOCGX-UHFFFAOYSA-N	RM0135019
acetyl-CoA	Acetyl-CoA	C23H38N7O17P3S	809.1258	Fatty Acyls	Fatty esters	Acyl CoAs	444493	15351	HMDB0001206	LMFA07050281	C00024	ZSLZBFCDCINBPY-ZSJPKINUSA-N	RM0073686
alanine	Alanine	C3H7NO2	89.0477	Organic acids	Amino acids and peptides	Amino acids	5950	16977	HMDB0000161		C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N	RM0135898
apolipoprotein A1	-						-	-	-	-	-	-	-
apolipoprotein A2	-						-	-	-	-	-	-	-
cholesterol	Cholesterol	C27H46O	386.3549	Sterol Lipids	Sterols	Cholesterols	5997	16113	HMDB0000067	LMST01010001	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N	RM0135639
citrate	Citric acid	C6H8O7	192.0270	Organic acids	TCA acids	TCA acids	311	30769	HMDB0000094		C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N	RM0135884
creatine	Creatine	C4H9N3O2	131.0695	Organic acids	Amino acids and peptides	Amino acids	586	16919	HMDB0000064		C00300	CVSVTCORWBXHQV-UHFFFAOYSA-N	RM0135876
